author;updated_at;like_count;text;video_id;public;Vermenschlichung;Leistung;Autonomie;Positiv;Neutral;Negativ
@arsnakehert;2023-11-12T03:54:30Z;13;What a time to be alive;fn3KWM1kuAw;True;0;0;0;0;0;0
@ComradeM;2023-11-10T12:29:43Z;17;When a robot dances better than me;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-dv8mq1gf5w;2023-11-10T04:56:29Z;16;This is perverse .... Soon we will be hunted by these damn things . It's a  new world order don't you know .    PK;fn3KWM1kuAw;True;0;0;0;0;0;0
@fabiomagheri8272;2023-11-09T21:31:12Z;1;Meraviglioso ❤;fn3KWM1kuAw;True;0;0;0;0;0;0
@HazardCirnoOfficial;2023-11-09T09:04:14Z;5;Termination got me like;fn3KWM1kuAw;True;0;0;0;0;0;0
@AndrewCengiz;2023-11-08T17:12:56Z;9;Now just add ai that has been created by ai using quantum computers;fn3KWM1kuAw;True;0;0;0;0;0;0
@gamepool8517;2023-11-08T16:27:12Z;11;Dancing on their way to take over humans and we find it funny😢;fn3KWM1kuAw;True;0;0;0;0;0;0
@conner482;2023-11-08T13:46:51Z;8;POV: the rich kids project;fn3KWM1kuAw;True;0;0;0;0;0;0
@sterlingenglish271;2023-11-08T10:30:34Z;2;It's crazy people are so lazy they are like I want them to do my chores what bunch of lazy f we have in this world today like what are you going to do in life , some people are like they are gonna do shit jobs no they are gonna do all the jobs ,you don't have to pay them.;fn3KWM1kuAw;True;0;0;0;0;0;0
@rodrigoavalos3656;2023-11-07T07:06:52Z;2;I feel sorry for people who think this is real 😅;fn3KWM1kuAw;True;0;0;0;0;0;0
@camdenmcandrews;2023-11-06T20:29:58Z;12;Three years later, this is still a paragon of awesomeness!;fn3KWM1kuAw;True;0;0;0;0;0;0
@Halle01;2023-11-06T18:33:21Z;3;Das muss vernichtet werden bevor es uns vernichtet.;fn3KWM1kuAw;True;0;0;0;0;0;0
@apojoga;2023-11-06T18:26:46Z;6;This is what history in the making looks like.;fn3KWM1kuAw;True;0;0;0;0;0;0
@kabukijoe99;2023-11-06T14:19:19Z;3;hello from Ukraine. You are geniuses!;fn3KWM1kuAw;True;0;0;0;0;0;0
@sonolosennn;2023-11-06T05:31:39Z;2;Xin Chao;fn3KWM1kuAw;True;0;0;0;0;0;0
@mike11986;2023-11-06T00:47:09Z;9;The first time I saw this I thought I was looking at a CG video.;fn3KWM1kuAw;True;0;0;0;0;0;0
