author;updated_at;like_count;text;video_id;public;Vermenschlichung;Leistung;Autonomie;Positiv;Neutral;Negativ
@Bambutch86;2023-06-17T15:47:03Z;1;Very cool, I want to own these bots );fn3KWM1kuAw;True;0;0;0;0;0;0
@dmelleis;2023-06-16T00:28:01Z;0;Obrigado !;fn3KWM1kuAw;True;0;0;0;0;0;0
@robertstephens995;2023-06-15T22:57:12Z;2;WE ARE IN SERIOUS TROUBLE - THEY KEEP MAKING THINGS SEEN IN SCI FI MOVIES;fn3KWM1kuAw;True;0;0;0;0;0;0
@angelaunderwood7852;2023-06-14T19:54:46Z;0;Wow thats amazing thank you guys for that it definitely made me feel better now if only there was a way for women who have had hysterectomy and can no longer have children wish there was a way that you guys could make a uterus for women to have babies that would be an invention;fn3KWM1kuAw;True;0;0;0;0;0;0
@tonynasaofficial;2023-06-13T04:30:11Z;14;Who else replayed this video;fn3KWM1kuAw;True;0;0;0;0;0;0
@danaeugenia_flowers7296;2023-06-13T04:24:40Z;4;"Geniuses - the creators; brilliant - the directors of this video.";fn3KWM1kuAw;True;0;0;0;0;0;0
@hwasooseong797;2023-06-13T03:31:32Z;7;better dancers than me :);fn3KWM1kuAw;True;0;0;0;0;0;0
@RealKingBacklash;2023-06-12T16:37:03Z;24;"""And then the humans forced us to dance for their pleasure""";fn3KWM1kuAw;True;0;0;0;0;0;0
@aliciaqueupumil3186;2023-06-12T15:53:12Z;1;😂😂😂 jenial 👍se pasaron para ser buenos!!!!!!!;fn3KWM1kuAw;True;0;0;0;0;0;0
@drc3po;2023-06-11T23:18:49Z;0;Great song by the Contours;fn3KWM1kuAw;True;0;0;0;0;0;0
@geekay101;2023-06-11T23:11:31Z;2;That is dancing ? Bull...t;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-ji1qz4qi4r;2023-06-11T19:29:00Z;1;Love it;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-ji1qz4qi4r;2023-06-11T19:28:46Z;1;Live it;fn3KWM1kuAw;True;0;0;0;0;0;0
@BEGOWEGO;2023-06-11T16:15:53Z;1;I want one to dance with me;fn3KWM1kuAw;True;0;0;0;0;0;0
@vincent21212;2023-06-11T04:56:37Z;10;does this company make anything that's actually useful?;fn3KWM1kuAw;True;0;0;0;0;0;0
@jaydedstudios;2023-06-11T03:21:42Z;4;"AI is charming! Almost like they can never turn rogue. ;))";fn3KWM1kuAw;True;0;0;0;0;0;0
@sharonmiller7213;2023-06-11T03:03:31Z;3;"Woooo shake it
Shake that robo butt-";fn3KWM1kuAw;True;0;0;0;0;0;0
@tjewett1967;2023-06-11T00:14:11Z;10;"How many millions of dollars did our taxes pay for this choreography?


MONEY WELL SPENT!";fn3KWM1kuAw;True;0;0;0;0;0;0
@ETERNITY777;2023-06-10T18:39:56Z;6;😈 MY HUMAN INSTINCT SAYS DESTROY IT 😈😈😈😈😈😈😈😈😈😈😈😈.;fn3KWM1kuAw;True;0;0;0;0;0;0
@N0LAB3L;2023-06-10T13:17:18Z;0;Of course you my son;fn3KWM1kuAw;True;0;0;0;0;0;0
@stacknewbie3815;2023-06-10T10:10:04Z;1;Really nice, I love this!;fn3KWM1kuAw;True;0;0;0;0;0;0
@ridvansen7108;2023-06-10T07:34:30Z;3;soon it's a T600;fn3KWM1kuAw;True;0;0;0;0;0;0
@Cosmic-junk;2023-06-10T01:28:28Z;2;What are the dangers that a rouge AI could possess these dudes and run a mock?;fn3KWM1kuAw;True;0;0;0;0;0;0
@brandonbutler2791;2023-06-10T00:20:08Z;5;Obviously CGI. Cmon people…😂;fn3KWM1kuAw;True;0;0;0;0;0;0
@ricklovelaec6442;2023-06-09T17:39:35Z;1;Better moves than trumpy;fn3KWM1kuAw;True;0;0;0;0;0;0
@PusheenTheCat8888;2023-06-09T11:44:53Z;1;"That looks animated 🎉 . 
The white robot looks like a person . 
Yellow one : snake-dog
White one : emu";fn3KWM1kuAw;True;0;0;0;0;0;0
@Gim-oe6rn;2023-06-09T07:52:39Z;6;Love Boston dynamics 🥰;fn3KWM1kuAw;True;0;0;0;0;0;0
@Bars-hj9pd;2023-06-09T05:49:20Z;0;"People:Robots will pass the world?

Robots:";fn3KWM1kuAw;True;0;0;0;0;0;0
@user-dt9wb1yx9h;2023-06-08T23:55:11Z;0;too whitebread;fn3KWM1kuAw;True;0;0;0;0;0;0
@anandsharma7430;2023-06-08T18:59:46Z;3;"The control system (sensors, actuators, circuitry) is clearly superb. It seems though that biomimicry in the limbs is lacking.
Stiff limbs = bad balance. Flexible limbs that can handle loads (muscles that tighten when needed) is the real big deal.";fn3KWM1kuAw;True;0;0;0;0;0;0
@AdityaTripathi;2023-06-08T17:47:23Z;12;"Bro if this shit comes forward to me on a street, I'd be scared af

But to any robots reading, I love y'all";fn3KWM1kuAw;True;0;0;0;0;0;0
@tbp5201;2023-06-08T17:30:31Z;6;my boy got drippp;fn3KWM1kuAw;True;0;0;0;0;0;0
@eastcoastuk1120;2023-06-08T17:28:12Z;3;I do love Bullshit..;fn3KWM1kuAw;True;0;0;0;0;0;0
@fathylmz;2023-06-08T17:07:21Z;8;The first party after the destruction of humanity.;fn3KWM1kuAw;True;0;0;0;0;0;0
@n0madfernan257;2023-06-08T16:44:49Z;4;victory dance for skyn3t;fn3KWM1kuAw;True;0;0;0;0;0;0
@sirivishnumusicchannel210;2023-06-08T05:40:26Z;4;Wow 😲;fn3KWM1kuAw;True;0;0;0;0;0;0
@astupidperson5779;2023-06-08T01:00:14Z;7;now make the robot get sturdy;fn3KWM1kuAw;True;0;0;0;0;0;0
@ernestoortiz2634;2023-06-07T20:43:59Z;6;You can make them dance, walk, even talk but never you gonna make them be like a human.;fn3KWM1kuAw;True;0;0;0;0;0;0
@BM-vy5ju;2023-06-07T15:27:43Z;9;Imagine getting pursued by these then getting stuck in a dead end alley and this happening 😂;fn3KWM1kuAw;True;0;0;0;0;0;0
@livem7678;2023-06-07T12:32:05Z;5;Sad these bad boys can dance better than me;fn3KWM1kuAw;True;0;0;0;0;0;0
@user-yp9fb1jb6m;2023-06-07T05:31:50Z;2;But will they do it naked?;fn3KWM1kuAw;True;0;0;0;0;0;0
@pamelas1002;2023-06-07T02:48:43Z;92;2 yrs later, and this still makes me smile!😊😊;fn3KWM1kuAw;True;0;0;0;0;0;0
@FreddieVee;2023-06-07T00:09:05Z;5;"After watching those Boston Dynamic's Robot dance, all I can say is, ""Those Robots really have Soul"".";fn3KWM1kuAw;True;0;0;0;0;0;0
@PAPPABIATCH;2023-06-06T21:56:55Z;5;They make it all cute dancing and all. Won't  be long till they be debt collectting, aresting you and ensuring thata you stay inside during lockdown;fn3KWM1kuAw;True;0;0;0;0;0;0
@robyguyroby;2023-06-06T19:06:21Z;0;Get the wrist movements right.  Can you really pass American Ninja. At the end fight 3 real ninjas and don't be gay.;fn3KWM1kuAw;True;0;0;0;0;0;0
@sosibaka4951;2023-06-06T18:14:19Z;2;Boston Dynamics best company❤do what you do everyone loves you;fn3KWM1kuAw;True;0;0;0;0;0;0
@jha-aircraft6630;2023-06-06T16:38:32Z;0;They use hidraulic oil...;fn3KWM1kuAw;True;0;0;0;0;0;0
@koluchikaktus8093;2023-06-06T15:10:48Z;6;Обожаю это видео;fn3KWM1kuAw;True;0;0;0;0;0;0
@OneZERROone;2023-06-06T12:45:50Z;1;.... Darth Vader says...... Most Impressive.;fn3KWM1kuAw;True;0;0;0;0;0;0
@jimmyjohnson9615;2023-06-06T02:52:57Z;10;I saw the interview of the main programmer for this video. He said it took him 6 months to get te programing for the robots right... It is quite a feat. But i wish i had the luxuory of choosing such a project and being paid hansomely for it. Must be nice.;fn3KWM1kuAw;True;0;0;0;0;0;0
@endyukii42069;2023-06-05T01:40:26Z;17;pov: humanity was finally exterminated;fn3KWM1kuAw;True;0;0;0;0;0;0
@Trihard_7;2023-06-05T00:05:50Z;4;That's CGI;fn3KWM1kuAw;True;0;0;0;0;0;0
@tihomorjolsimovic4365;2023-06-04T20:40:41Z;5;Boston dancing show time robots for the blind and dumb people who belive this crap;fn3KWM1kuAw;True;0;0;0;0;0;0
@liyathomas7;2023-06-04T18:32:00Z;2;Soooo fucking cute and scaryyyy...I ll cry;fn3KWM1kuAw;True;0;0;0;0;0;0
